email_id,company,role,stage,date
1a041882fc60da6c,Bosch Group,Web Application Developer with AI,unknown,"Thu, 27 Aug 2026 04:43:58 +0000"
19ffb6ab17383d43,Unknown,Senior Platform Engineer,applied,"Thu, 13 Aug 2026 19:28:20 +0530"
